Year,Text
2002,"At the country level the Bank seeks to help developing countries respond to new market opportunities. The challenge is to integrate trade reforms into national development strategies that support growth and poverty reduction. The Bank also provides direct advice and capacity building, including for WTO accession negotiation. In June 2002 the Bank published Development, Trade, and the WTO: A Handbook."
2002,The Bank has continued to play a leading role in conducting diagnostic trade integration studies '	through the Integrated Framework for Trade:	Related Technical Assistance to Least Developed
2002,|	actively pursuing mobilization of trade-related
2002,"At the global level, work has focused on strengthening the development aspects of the global trade agenda. For example, Global Economic Prospects 2002, released in November 2001, and the Policy Research Report Globalization, Growth and Poverty: Building an Inclusive World Economy have helped shape the global trade debate and the agenda set at the WTO ministerial meeting in Doha, Qatar. Trade work is based on a strengthened program of technical research, focused on a better understanding of how institutional and regulatory reforms affect trade and investment liberalization; provision of an analytical framework to help developing countries set priorities for reform and multilateral trade negotiations; analysis of how trade policy reforms and domestic institutions can together help to reduce poverty; and work to make the global trading system more transparent and more attuned to the needs of developing countries."
2002,"The World Bank, as tljie largest lender for sustainable development, isifully committed to the goals of the WSSD, held in Johannesburg, South Africa, August 26 to September 4, 2002. During fiscal 2002 the World Bank supported the preparatory process of the Summit. Based on the common platform of achieving the MDGs, the WSSD was a unique opportunity to move'jthe sustainable development agenda closer to implementation, adding coherence to the gains coming out of the Financing for Development conference in Monterrey, Mexico, and the Doha, Qatar.i conference on Trade and Development."
2002,Trade and Integration
2002,"Regional integration in Africa is seen as one approach to creating a larger economic space with more opportunities for investors and entrepreneurs. The Bank is supporting regional efforts to create integrated markets and initiatives aimed at increasing cooperation to address common issues in a regional context, such as with the Nile Basin Initiative. Two regional IDA operations became effective in fiscal 2002: a $9.4 million project to strengthen payments systems in the West Africa Economic and Monetary Union, and a $5 million trade facilitation project in East Africa."
2002,"The Bank has been a fervent advocate for a fairer post-Doha trade system, urging industrial countries to increasingly open their markets to African products. The Bank has also provided technical support to African countries in trade negotiations."
2002,"The East Asia and Pacific region was hard hit by the global economic downturn of 2001. Growth fell from over 7 percent to less than 5 percent. But a quicker and more robust regional recovery appeared to be under way by early 2002, supported by a stronger-than-expected recovery in major export markets like the United States and solid local private consumer spending. A more balanced recovery resting on increased exports and domestic demand seemed likely. Political stability improved as new governments in Indonesia, the Philippines, and Thailand strengthened their mandates and their credibility with the public. China’s still-robust economy was pulling in imports at a near-10 percent pace in the first several months of 2002 and continued as a bright spot in the regional export and economic picture, enhanced by the anticipated impact of China’s entry into the World Trade Organization (WTO), the increased pace of its institutional reform program, and its emergence as a key center of regional trade and investment flows."
2002,"The Bank’s focus in South Asia has continued to be on supporting sustainable reforms: fiscal consolidation, privatization, trade liberalization, and banking reform; establishing transparency, effectiveness, and accountability of public institutions; and supporting the expansion of services to the poor. Bank lending is based on an extensive program of analytical work in the form of reports, workshops, policy notes, and ongoing policy dialogue."
2002,Supporting Trade and Integration
2002,"There are substantial untapped opportunities for cooperation in many of Europe and Central Asia’s subregions. Together with the European Commission, Europe and Central Asia programs provide support to EU accession candidates on numerous subregional activities, including transportation, environment, energy, and knowledge economy strategies. Analytical work on trade issues has also been undertaken for the countries of Southeast Europe that are not EU accession candidates, including five country studies, a regional report in progress, and technical assistance. In the CIS-7, studies of trade, transportation, and telecommunications have been carried out. Bank support for trade integration in Russia and Ukraine is focusing on technical assistance for WTO accession."
2002,A decline in the growth of world trade and drops in export commodity prices reduced Latin America and the Caribbean’s export revenue growth to
2002,"1.4	percent in 2001, after a 19 percent rise in 2000. The trade surpluses of oil exporters decreased, but trade balances increased in other countries in the region as they imported less due to slower GDP growth. Overall, the region’s trade surplus increased by $17 billion, while the current account deficit widened by $5 billion as a result of lower receipts from tourism and remittances."
2002,"Natural resources are an asset for countries in Latin America and the Caribbean seeking to create high-quality jobs in the knowledge economy, according to a World Bank study. Despite recent stagnation of prices for many primary commodities and some disquieting trends in job quality and unemployment in the region, From Natural Resources to the Knowledge Economy— Trade and Job Quality presents evidence that, ""rich endowments of natural resources, combined with aggressive pursuit and adoption of more productive technologies, are a proven growth recipe."""
2002,"Citing experiences in countries including Australia, Canada, Finland, and some Latin American countries, the report argues that it is not so much what is produced, but how it is produced. The critical complementary ingredients are high levels of human capital and knowledge networks that generate innovation and adoption of foreign technologies. The region's countries, it recommends, should pursue trade openness, develop human capital and innovation networks, and ""not turn their backs on their natural wealth."""
2002,"private sector development becoming a prime source of job creation, the Bank has worked extensively to improve the investment climate in the region. Projects and advisory services to strengthen financial sectors in Algeria and the Republic of Yemen; trade and competitiveness in Tunisia; private sector development in Algeria; and information technology in the West Bank and Gaza, Tunisia, and the Republic of Yemen are good examples. The weight of the public sector and governance issues also constitutes a serious impediment to more rapid growth. Work in fiscal 2002 has focused on improving public expenditure efficiency and public sector management in Algeria, Djibouti, Jordan, and Morocco, and decentralization in Algeria, Jordan, Tunisia, and the Republic of Yemen."
2002,Trade and Integration
2002,"As one component of liquidity management, IBRD maintains a $400 million line of credit with an independent financial institution. This facility is used to cover any overnight overdrafts that may occur due to failed trades. For further details about this facility, see the Notes to Financial Statements—Note D."
2002,Futures and Forwards: Futures and forward contracts are contracts for delivery of securities or money market instruments in which the seller agrees to make delivery at a specified future date of a specified instrument at a specified price or yield. Futures contracts are traded on U.S. and international regulated exchanges.
2002,"For options, IBRD only invests in exchange-traded options. The initial price of an option contract is equal to the premium paid by the purchaser and is significantly less than the contract or notional amount. IBRD does not write uncovered option contracts as part of its investment portfolio strategy."
2002,"Line of credit: IBRD maintains a $400 million line of credit with an independent financial institution. This facility is used to cover any overnight overdrafts that may occur due to failed trades. At June 30, 2002 and June 30, 2001, no amounts were outstanding under this line of credit."
2002,"Futures and Forwards: Futures and forward contracts are contracts for delivery of securities or money market instruments in which the seller agrees to make delivery at a specified future date of a specified instrument, at a specified price or yield. Futures contracts are traded on regulated United States and international exchanges. IDA generally closes out most open positions in futures contracts prior to maturity. Therefore, cash receipts or payments are mostly limited to the change in market value of the futures contracts. Futures contracts generally entail daily settlement of the net cash margin."
2002,"Options: Options are contracts that allow the holder of the option the right, but not the obligation, to purchase or sell a financial instrument at a specified price within a specified period of time from or to the seller of the option. The purchaser of an option pays a premium at the outset to the seller of the option, who then bears the risk of an unfavorable change in the price of the financial instrument underlying the option. IDA invests only in exchange-traded options. The initial price of an option contract is equal to the premium paid by the purchaser and is significantly less than the contract or notional amount.	."
2002,"IDA maintains a $100 million line of credit with an independent financial institution. This facility is used to cover any overnight overdrafts that may occur due to failed trades. At June 30, 2002 and June 30, 2001, no amounts were outstanding under this line of credit."
2002,"Under simplified procedures for structural and sectoral adjustment loans approved by the executive directors in fiscal 1996, disbursements are no longer directly linked to procurement under adjustment loans disbursed using simplified procedures. Thus, while appendixes 3B to 6 report on disbursements from IBRD and IDA, they do not include disbursements under adjustment loans disbursed using simplified procedures. The information in Appendix 7 reflects simplified adjustment loan disbursements to each borrower as pro-rata shares of that borrower’s eligible imports from supplying countries using import data drawn from United Nations trade statistics."
2002,"2 Impact of Recent Events in Low- and Middle-Income Countries' Response of the World Bank Group. Ministers reviewed the impact of the September 11 terrorist attacks and their aftermath on developing countries They recognized that poverty in many developing countries was likely to worsen as these events have deepened the pre-existing global economic slowdown, which had already led to weaker exports and commodity prices, and have other more specific impacts' e g , increased refugee movements within countries and across borders, reduced private investment flows due to increased risk aversion in financial markets, reduced tourism revenues; and increased trade transaction costs. Ministers called for further enhancing the collaboration among the Bank Group, the IMF, the regional development banks and UN agencies, in their actions to help member countries address these additional challenges and to strengthen social safety nets Ministers underlined the importance of renewed growth in industrialized countries to the improvement of prospects for poverty reduction in developing countries."
2002,"productivity, job creation, and trade, and, as a result, for poverty reduction Thus, they highlighted the need for the Bank and the Fund, in accordance with their respective mandates and comparative advantage, to pay more attention to governance-related issues, including public expenditure management, diagnostic (e.g., through the Financial Sector Assessment; Program) and capacity-building work to help countries identify and address abuses such as money laundering and terrorist financing. In light of this, they also stressed the importance of working to strengthen further country procurement and financial management systems They also recognized the need to allocate increased resources to address capacity building concerns in many countries to help them meet new internationally agreed commitments and standards."
2002,"8.	Ministers reiterated their commitment to the enhanced HIPC Initiative as a means for achieving a lasting exit from unsustainable debt for eligible countries. They stressed that long term debt sustainability will depend upon the maintenance of sound economic policies, strengthened debt management and the provision of appropriate financing. With regard to recent events, they noted that the enhanced HIPC initiative framework provides for the consideration of additional assistance at the completion point if there has been a fundamental change in a country’s economic circumstances due to exceptional exogenous shocks. The Committee recognized the need to take into account worsening global growth prospects and declines in terms of trade, when updating HIPC initiative debt sustainability analysis at completion point. Ministers noted that the relevant operational procedures for exercising such an option were recently approved by the Bank and Fund Boards. Ministers also reiterated the importance of fully financing the enhanced HIPC Initiative and urged bilateral donors to fulfill this commitment. They welcomed the agreement among donors to continue their regular consultations on the financial requirements of HIPC. They also urged those creditors that had yet to confirm their participation in the Initiative to do so as soon as possible."
2002,"3.	Promoting Integration into the International Trading System. Trade is an important source of growth and poverty reduction, and developing countries need to be able to take greater advantage of the opportunities it offers. In this connection, the Committee warmly welcomed the decision reached by the WTO last week in Doha to launch a new round of trade negotiations. They endorsed the WTO Ministerial Declaration’s aim to place the needs and interests of developing countries at the heart of their Work Programme. Ministers emphasized the importance of countries integrating trade into their development strategies and improving their investment regulations, standards and technical regulations, removing obstacles to efficient transport of goods and materials, and strengthening telecommunications and business services. Ministers noted that greater access to markets would provide a major boost to development. They also stressed the priority they attach to helping developing countries strengthen their capacity to respond to market opportunities and to implement trade-related agreements."
2002,"7.	Economic growth requires a strong and vibrant private sector and an enabling climate that encourages investment, entrepreneurship and job creation. However, it is not enough to strengthen the private sector in developing countries without further progress in integrating them into the global trading system. We thus strongly endorsed the call at Monterrey for coherence between development assistance and trade policies. We urged an acceleration of efforts to lower trade barriers (including trade distorting subsidies) and we called upon the Bank and others to provide more support in helping developing countries address policy, institutional, social and infrastructure impediments limiting their ability to share in the benefits of trade."
2002,"At June 30, 2002, $103,604 million (58%) of the uncalled capital was callable from the member countries of IBRD that are also members of the Development Assistance Committee (DAC) of the Organization for Economic Cooperation and Development (OECD). This amount was equal to 93.2% of IBRD’s outstanding borrowings after swaps at June 30,"
2002,"Development Credits: IDA’s development credits have a significant grant element because of the concessional nature of IDA's terms. Discounting the future cash flows from IDA’s development credits using government reference rates represented by interest rates of government securities having similar maturity to the portfolio of development credits, provides an estimate for the grant element. Under the Original HIPC Debt Initiative, development credits identified for sale to the HIPC Debt Initiative Trust Fund are written down to their estimated net present value using currency specific Commercial Interest Reference Rates (CIRRs) published monthly by the Organization for Economic Cooperation and Development (OECD). Using the six months average CIRR as a discount rate provides an alternative estimate for the grant element."
2003,"Brazil, China, and Russia. These efforts have allowed the Bank and OECD to avoid duplication and gain synergy from their respective work."
2003,"East Asia’s growth was 6.7 percent, fueled by China’s growth of 8 percent and conducive policies in other countries. At the other end of the spectrum, gross domestic product (GDP) growth in Latin America and the Caribbean dropped by 0.8 percent because of the banking collapse and government debt default in Argentina, uncertainty regarding Brazilian elections, a worsening of conditions in the Republica Bolivariana de Venezuela, and a decrease of over $30 billion in financial market flows. In Europe and Central Asia, growth was 4.6 percent, resulting from a sharp recovery of activity in Turkey following its 2001 crisis, as well as continued gains linked to higher oil prices in Russia and the Commonwealth of Independent States countries. The continued strength of domestic demand in India led to gains of 4.2 percent in South Asia, despite the disruptions in regional conditions associated with the war on terrorism. Growth in Africa and in the Middle East and North Africa was sluggish, with the"
2003,"experiments: for example, estimating what Bangladeshi firms would experience in terms of faster growth if Bangladesh’s investment climate reached the mean level of China’s investment climate. Thus, one aspect of the Bank’s work is to measure the investment climate objectively and link it to firm performance so that countries (and cities within countries) can gauge their progress and identify priority areas for reform."
